Plot ID,Common name,Bur oak,Black oak,Shagbark hickory,Black cherry,White oak,Black walnut,Red oak,Butternut,American elm,Basswood,Slippery elm,Yellowbud hickory,Ironwood,Sugar maple,Stage
A,1,9,8,6,3,5,2,3,0,2,0,4,0,0,0,1
B,2,8,9,6,5,4,0,4,0,2,0,0,0,0,0,2
C,3,3,8,2,6,9,0,0,5,4,0,2,0,0,0,3
D,4,5,7,7,6,9,0,6,0,5,0,2,0,0,0,4
E,5,6,0,0,6,7,3,9,2,6,2,5,0,0,0,5
F,6,0,0,2,4,7,5,8,0,0,7,7,5,0,5,6
G,7,5,0,0,5,4,6,7,0,5,6,8,6,7,4,7
H,8,0,0,0,0,6,4,6,2,0,6,8,4,4,8,8
I,9,0,0,0,4,0,3,4,0,2,7,8,0,6,8,9
J,10,0,0,0,1,2,0,3,2,5,6,7,3,5,9,10
